"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.355734292E0,1.057615131E-4,3.034449108E-3,-1.102550983E-2,1.143594920E-2
2.365767292E0,-5.069718696E-4,1.679388857E-3,1.966067791E-2,1.973878475E-2
2.375800292E0,-3.831479419E-4,-2.534740577E-3,-6.687460542E-3,7.161971840E-3
2.385834292E0,7.846305594E-3,3.643802069E-3,1.621023595E-2,1.837426338E-2
2.395867292E0,-8.291242160E-3,1.695168231E-2,1.291416049E-2,2.286656448E-2
2.405900292E0,7.373923659E-3,2.716542160E-3,-1.672362149E-2,1.847792919E-2
2.415933292E0,7.485605478E-3,4.951434777E-3,1.426369786E-2,1.685242037E-2
2.425966292E0,-9.082416119E-3,-4.058189217E-3,-1.746446371E-2,2.009892223E-2
2.435999292E0,6.256749155E-3,-7.232596914E-3,4.093050957E-3,1.040242444E-2
2.446032292E0,7.354618711E-3,-3.644817338E-3,8.883674741E-3,1.209523818E-2
2.456065292E0,7.273068326E-3,-5.593597242E-3,2.744683027E-3,9.577010906E-3
2.466098292E0,2.074071346E-3,-6.049225533E-3,1.381814003E-2,1.522615826E-2
2.476131292E0,-4.297721777E-3,6.128303414E-3,-1.133482754E-2,1.358325552E-2
2.486164292E0,-1.510509392E-2,-6.960109812E-3,-3.702456951E-3,1.703863781E-2
2.496197292E0,2.154068565E-3,-3.407715027E-3,1.979984164E-2,2.020609468E-2
2.506230292E0,-1.233539578E-2,1.404554304E-2,-3.398986459E-3,1.899979940E-2
2.516263292E0,-7.654736191E-3,4.475145943E-3,2.190250039E-2,2.362924969E-2
2.526296292E0,-5.877950080E-3,2.439821537E-3,-1.117578328E-2,1.286083816E-2
2.536329292E0,7.280514389E-4,2.163810118E-3,6.489239931E-3,6.879125526E-3
2.546363292E0,1.075135765E-2,-4.226491955E-3,7.385618091E-3,1.371139235E-2
2.556396292E0,-3.148241406E-3,-4.555006118E-3,-2.945827246E-3,6.271953671E-3
2.566429292E0,9.446661109E-3,-1.064767692E-3,1.351525426E-2,1.652377784E-2
2.576462292E0,3.376200590E-3,-4.038726669E-3,2.886770368E-3,6.003622797E-3
2.586495292E0,2.024552738E-3,-4.123965825E-4,-7.739959359E-3,8.010983436E-3
2.596528292E0,3.555828882E-3,-4.637817310E-3,1.741066933E-2,1.836531173E-2
2.606561292E0,8.187691625E-3,-3.747088794E-3,-1.117695272E-2,1.435281299E-2
2.616591208E0,2.344909807E-2,-1.049689413E-4,1.427129924E-2,2.745070492E-2
2.626624208E0,5.730024660E-3,2.491577390E-3,1.621783733E-2,1.737985582E-2
2.636657208E0,8.299300354E-3,8.364269544E-3,-7.585592866E-3,1.401358664E-2
2.646690208E0,1.288762875E-4,7.607646690E-3,-7.022505999E-4,7.641076702E-3
2.656723208E0,-1.094483653E-2,4.798918379E-3,-5.643147826E-3,1.321605772E-2
2.666756208E0,-1.964413212E-2,3.416516685E-3,1.516358435E-2,2.504992621E-2
2.676789208E0,-4.680339815E-3,-1.402782438E-3,5.885807276E-3,7.649582122E-3
2.686823208E0,4.240967240E-4,-4.130966496E-4,-3.839281797E-3,3.884661065E-3
2.696856208E0,6.150028333E-3,-4.735389295E-3,1.248088181E-2,1.469759065E-2
2.706889208E0,8.029213808E-3,-3.668036037E-3,2.901388407E-3,9.291975971E-3
2.716922208E0,9.647851009E-3,2.910964364E-3,6.640682817E-3,1.206869549E-2
2.726955208E0,2.556009823E-3,-2.301106624E-3,7.235344648E-3,8.011147864E-3
2.736988208E0,7.200179128E-3,7.408737433E-3,-2.510034263E-2,2.714330802E-2
2.747021208E0,9.571352983E-3,-2.237141283E-3,1.391637325E-3,9.927348764E-3
2.757054208E0,-2.899689060E-3,-4.345506777E-3,-1.836493492E-2,1.909351881E-2
